ticker,selected_days,first_selected,last_selected
LICHSGFIN,222,2016-11-23T00:00:00.000000000,2024-07-31T00:00:00.000000000
HDFCBANK,213,2015-11-16T00:00:00.000000000,2025-10-31T00:00:00.000000000
COROMANDEL,211,2015-07-20T00:00:00.000000000,2022-06-14T00:00:00.000000000
360ONE,208,2020-04-15T00:00:00.000000000,2025-07-22T00:00:00.000000000
MRF,200,2016-11-25T00:00:00.000000000,2025-10-13T00:00:00.000000000
INDIGO,198,2016-10-19T00:00:00.000000000,2025-10-31T00:00:00.000000000
MARUTI,194,2015-12-03T00:00:00.000000000,2025-04-15T00:00:00.000000000
NESTLEIND,186,2016-03-16T00:00:00.000000000,2019-09-24T00:00:00.000000000
BEL,181,2017-01-18T00:00:00.000000000,2025-01-28T00:00:00.000000000
CONCOR,177,2015-12-03T00:00:00.000000000,2025-09-12T00:00:00.000000000
BOSCHLTD,176,2020-03-02T00:00:00.000000000,2021-06-02T00:00:00.000000000
ASIANPAINT,175,2017-12-11T00:00:00.000000000,2024-02-23T00:00:00.000000000
MARICO,171,2016-09-12T00:00:00.000000000,2017-12-04T00:00:00.000000000
APOLLOHOSP,158,2016-08-30T00:00:00.000000000,2025-09-18T00:00:00.000000000
INFY,148,2019-05-02T00:00:00.000000000,2020-10-08T00:00:00.000000000
BHARATFORG,147,2016-02-22T00:00:00.000000000,2024-01-08T00:00:00.000000000
PATANJALI,140,2015-10-20T00:00:00.000000000,2022-04-18T00:00:00.000000000
SUZLON,139,2016-02-16T00:00:00.000000000,2023-10-10T00:00:00.000000000
JINDALSTEL,137,2015-08-11T00:00:00.000000000,2019-07-25T00:00:00.000000000
IDEA,135,2016-01-22T00:00:00.000000000,2025-10-31T00:00:00.000000000
M&M,133,2015-07-14T00:00:00.000000000,2025-10-31T00:00:00.000000000
TATATECH,133,2024-08-01T00:00:00.000000000,2025-10-31T00:00:00.000000000
SBILIFE,131,2019-03-12T00:00:00.000000000,2025-09-02T00:00:00.000000000
RELIANCE,130,2016-05-26T00:00:00.000000000,2024-01-12T00:00:00.000000000
BIOCON,129,2015-07-06T00:00:00.000000000,2019-11-18T00:00:00.000000000
KPITTECH,129,2020-01-27T00:00:00.000000000,2025-06-12T00:00:00.000000000
GODFRYPHLP,128,2015-07-08T00:00:00.000000000,2025-07-10T00:00:00.000000000
COALINDIA,128,2016-03-16T00:00:00.000000000,2022-07-06T00:00:00.000000000
SONACOMS,128,2022-04-11T00:00:00.000000000,2025-10-24T00:00:00.000000000
BLUESTARCO,124,2015-07-06T00:00:00.000000000,2025-09-24T00:00:00.000000000
CGPOWER,123,2016-03-10T00:00:00.000000000,2018-08-17T00:00:00.000000000
EICHERMOT,120,2015-12-15T00:00:00.000000000,2025-10-07T00:00:00.000000000
PERSISTENT,119,2015-10-14T00:00:00.000000000,2020-10-14T00:00:00.000000000
NYKAA,116,2022-05-18T00:00:00.000000000,2025-10-13T00:00:00.000000000
MANKIND,116,2023-11-09T00:00:00.000000000,2024-05-28T00:00:00.000000000
PNB,115,2015-07-08T00:00:00.000000000,2017-05-25T00:00:00.000000000
NTPC,112,2016-02-16T00:00:00.000000000,2021-05-17T00:00:00.000000000
LICI,112,2022-11-16T00:00:00.000000000,2023-12-08T00:00:00.000000000
LTF,110,2015-11-06T00:00:00.000000000,2025-10-31T00:00:00.000000000
IRB,110,2015-12-03T00:00:00.000000000,2018-07-09T00:00:00.000000000
OBEROIRLTY,107,2015-07-06T00:00:00.000000000,2025-05-21T00:00:00.000000000
TATACONSUM,107,2016-02-16T00:00:00.000000000,2017-10-31T00:00:00.000000000
MOTILALOFS,107,2016-11-04T00:00:00.000000000,2021-02-02T00:00:00.000000000
SOLARINDS,106,2015-12-09T00:00:00.000000000,2024-07-19T00:00:00.000000000
INDUSINDBK,106,2016-11-30T00:00:00.000000000,2024-10-09T00:00:00.000000000
INDHOTEL,104,2016-02-16T00:00:00.000000000,2023-06-14T00:00:00.000000000
SUNPHARMA,104,2020-09-04T00:00:00.000000000,2023-03-15T00:00:00.000000000
GODREJPROP,99,2017-04-25T00:00:00.000000000,2023-03-09T00:00:00.000000000
ITC,97,2015-08-11T00:00:00.000000000,2024-11-26T00:00:00.000000000
RECLTD,96,2015-07-06T00:00:00.000000000,2019-09-24T00:00:00.000000000
TATAPOWER,94,2015-11-06T00:00:00.000000000,2020-06-01T00:00:00.000000000
MOTHERSON,94,2016-01-22T00:00:00.000000000,2024-11-26T00:00:00.000000000
HINDPETRO,94,2016-08-18T00:00:00.000000000,2019-06-21T00:00:00.000000000
CHOLAFIN,91,2016-02-22T00:00:00.000000000,2020-02-25T00:00:00.000000000
VEDL,89,2015-07-20T00:00:00.000000000,2021-07-29T00:00:00.000000000
GODREJCP,89,2015-07-30T00:00:00.000000000,2021-12-30T00:00:00.000000000
TORNTPHARM,89,2016-01-15T00:00:00.000000000,2019-06-03T00:00:00.000000000
TATACOMM,87,2015-07-06T00:00:00.000000000,2020-03-20T00:00:00.000000000
OFSS,85,2016-05-04T00:00:00.000000000,2022-01-11T00:00:00.000000000
OIL,85,2019-05-30T00:00:00.000000000,2023-04-18T00:00:00.000000000
BHARTIARTL,85,2021-06-21T00:00:00.000000000,2025-06-18T00:00:00.000000000
ASTRAL,84,2020-04-27T00:00:00.000000000,2025-10-24T00:00:00.000000000
TATASTEEL,83,2015-07-14T00:00:00.000000000,2019-10-11T00:00:00.000000000
IOC,82,2016-08-24T00:00:00.000000000,2019-10-30T00:00:00.000000000
ONGC,81,2016-01-07T00:00:00.000000000,2020-04-13T00:00:00.000000000
UPL,77,2016-10-25T00:00:00.000000000,2017-09-08T00:00:00.000000000
FORTIS,76,2017-03-24T00:00:00.000000000,2025-10-24T00:00:00.000000000
COLPAL,75,2015-12-28T00:00:00.000000000,2020-03-12T00:00:00.000000000
BAJAJ-AUTO,73,2015-07-08T00:00:00.000000000,2025-02-05T00:00:00.000000000
NHPC,71,2019-09-23T00:00:00.000000000,2020-02-03T00:00:00.000000000
BAJAJFINSV,70,2016-04-20T00:00:00.000000000,2018-03-20T00:00:00.000000000
HCLTECH,66,2019-06-04T00:00:00.000000000,2020-10-01T00:00:00.000000000
FEDERALBNK,60,2015-08-05T00:00:00.000000000,2018-03-08T00:00:00.000000000
LODHA,59,2021-10-21T00:00:00.000000000,2023-03-27T00:00:00.000000000
BRITANNIA,58,2016-06-01T00:00:00.000000000,2019-08-19T00:00:00.000000000
GAIL,57,2015-07-06T00:00:00.000000000,2018-11-30T00:00:00.000000000
INDUSTOWER,57,2016-06-01T00:00:00.000000000,2022-10-20T00:00:00.000000000
HEROMOTOCO,55,2015-07-08T00:00:00.000000000,2025-01-31T00:00:00.000000000
IGL,55,2017-05-26T00:00:00.000000000,2023-09-21T00:00:00.000000000
KOTAKBANK,53,2015-12-03T00:00:00.000000000,2021-03-19T00:00:00.000000000
SBIN,52,2015-07-14T00:00:00.000000000,2015-10-26T00:00:00.000000000
ADANIENT,52,2017-03-24T00:00:00.000000000,2018-07-19T00:00:00.000000000
TATAELXSI,52,2023-01-30T00:00:00.000000000,2024-11-06T00:00:00.000000000
SUPREMEIND,51,2015-11-27T00:00:00.000000000,2017-04-18T00:00:00.000000000
TRENT,51,2016-09-23T00:00:00.000000000,2017-11-10T00:00:00.000000000
POWERGRID,50,2017-08-09T00:00:00.000000000,2017-10-25T00:00:00.000000000
HUDCO,48,2017-11-17T00:00:00.000000000,2018-03-08T00:00:00.000000000
TIINDIA,44,2019-03-25T00:00:00.000000000,2021-08-16T00:00:00.000000000
POWERINDIA,44,2020-10-05T00:00:00.000000000,2024-10-31T00:00:00.000000000
BANKBARODA,43,2015-07-08T00:00:00.000000000,2015-10-13T00:00:00.000000000
ADANIPOWER,43,2015-08-20T00:00:00.000000000,2017-12-27T00:00:00.000000000
COFORGE,42,2016-04-20T00:00:00.000000000,2018-01-24T00:00:00.000000000
DABUR,41,2016-01-29T00:00:00.000000000,2019-05-15T00:00:00.000000000
M&MFIN,38,2015-11-06T00:00:00.000000000,2025-10-31T00:00:00.000000000
MPHASIS,38,2016-07-12T00:00:00.000000000,2020-06-29T00:00:00.000000000
SHREECEM,38,2016-09-06T00:00:00.000000000,2017-09-21T00:00:00.000000000
ALKEM,38,2017-06-21T00:00:00.000000000,2017-11-16T00:00:00.000000000
TORNTPOWER,36,2016-03-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
SRF,33,2016-11-09T00:00:00.000000000,2019-03-28T00:00:00.000000000
DLF,33,2017-05-02T00:00:00.000000000,2017-08-10T00:00:00.000000000
DIXON,32,2023-05-12T00:00:00.000000000,2023-08-04T00:00:00.000000000
BAJFINANCE,31,2016-05-16T00:00:00.000000000,2020-02-28T00:00:00.000000000
INDIANB,30,2015-07-06T00:00:00.000000000,2017-05-22T00:00:00.000000000
BANKINDIA,30,2015-07-30T00:00:00.000000000,2017-05-22T00:00:00.000000000
CUMMINSIND,29,2015-12-09T00:00:00.000000000,2016-02-19T00:00:00.000000000
BPCL,29,2016-08-11T00:00:00.000000000,2017-07-28T00:00:00.000000000
HAL,29,2019-07-10T00:00:00.000000000,2019-11-22T00:00:00.000000000
ATGL,29,2024-08-27T00:00:00.000000000,2025-04-01T00:00:00.000000000
JSWSTEEL,27,2015-07-20T00:00:00.000000000,2017-06-20T00:00:00.000000000
HINDALCO,25,2015-09-07T00:00:00.000000000,2016-11-25T00:00:00.000000000
KEI,25,2016-12-06T00:00:00.000000000,2017-02-03T00:00:00.000000000
ADANIENSOL,25,2024-08-13T00:00:00.000000000,2025-06-12T00:00:00.000000000
APLAPOLLO,24,2016-11-17T00:00:00.000000000,2017-04-11T00:00:00.000000000
SIEMENS,23,2018-09-06T00:00:00.000000000,2021-11-17T00:00:00.000000000
TITAN,20,2015-11-02T00:00:00.000000000,2015-12-02T00:00:00.000000000
BHEL,20,2017-04-19T00:00:00.000000000,2020-01-24T00:00:00.000000000
TECHM,18,2019-02-04T00:00:00.000000000,2019-11-22T00:00:00.000000000
ICICIBANK,16,2015-10-08T00:00:00.000000000,2015-10-30T00:00:00.000000000
ASHOKLEY,16,2016-06-01T00:00:00.000000000,2024-07-25T00:00:00.000000000
ACC,16,2017-10-26T00:00:00.000000000,2017-11-16T00:00:00.000000000
BSE,16,2019-09-30T00:00:00.000000000,2023-11-15T00:00:00.000000000
DRREDDY,16,2020-03-25T00:00:00.000000000,2020-05-07T00:00:00.000000000
CIPLA,16,2020-05-20T00:00:00.000000000,2020-06-23T00:00:00.000000000
VBL,16,2025-06-09T00:00:00.000000000,2025-06-30T00:00:00.000000000
UNIONBANK,15,2015-07-08T00:00:00.000000000,2017-05-22T00:00:00.000000000
AXISBANK,15,2015-10-08T00:00:00.000000000,2025-07-16T00:00:00.000000000
HDFCLIFE,12,2022-01-12T00:00:00.000000000,2024-07-08T00:00:00.000000000
IREDA,12,2024-06-10T00:00:00.000000000,2024-06-26T00:00:00.000000000
BAJAJHFL,12,2025-03-20T00:00:00.000000000,2025-04-22T00:00:00.000000000
PFC,9,2017-05-12T00:00:00.000000000,2020-03-05T00:00:00.000000000
HAVELLS,8,2015-07-08T00:00:00.000000000,2015-07-17T00:00:00.000000000
KALYANKJIL,8,2022-11-10T00:00:00.000000000,2022-12-07T00:00:00.000000000
PREMIERENE,8,2025-09-03T00:00:00.000000000,2025-09-12T00:00:00.000000000
IDFCFIRSTB,7,2016-07-18T00:00:00.000000000,2025-10-13T00:00:00.000000000
DIVISLAB,6,2016-11-15T00:00:00.000000000,2016-12-05T00:00:00.000000000
CANBK,4,2015-10-27T00:00:00.000000000,2015-10-30T00:00:00.000000000
LUPIN,4,2016-01-11T00:00:00.000000000,2016-01-14T00:00:00.000000000
TVSMOTOR,4,2016-04-22T00:00:00.000000000,2016-04-27T00:00:00.000000000
VOLTAS,4,2016-10-05T00:00:00.000000000,2016-10-10T00:00:00.000000000
MUTHOOTFIN,4,2018-08-01T00:00:00.000000000,2018-08-06T00:00:00.000000000
WIPRO,4,2018-10-09T00:00:00.000000000,2018-10-12T00:00:00.000000000
SWIGGY,4,2025-05-22T00:00:00.000000000,2025-05-27T00:00:00.000000000
AUROPHARMA,3,2019-05-16T00:00:00.000000000,2019-06-17T00:00:00.000000000
ZYDUSLIFE,2,2020-03-23T00:00:00.000000000,2020-03-24T00:00:00.000000000
ABCAPITAL,2,2020-03-25T00:00:00.000000000,2020-03-26T00:00:00.000000000
ETERNAL,2,2022-02-10T00:00:00.000000000,2022-02-11T00:00:00.000000000
