step,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
200,-0.114719,0.161578,0.0,0.0323,0.0002
201,-0.115222,0.089887,0.0,0.0323,0.0002
202,-0.116116,0.187106,0.0,0.0323,0.0002
203,-0.115104,0.168592,0.0,0.0323,0.0002
204,-0.115652,0.183400,0.0,0.0323,0.0002
205,-0.116448,0.163531,0.0,0.0323,0.0002
206,-0.114818,0.167789,0.0,0.0323,0.0003
207,-0.112762,0.115854,0.0,0.0323,0.0002
208,-0.112204,0.116572,0.0,0.0323,0.0002
209,-0.113311,0.155397,0.0,0.0323,0.0002
210,-0.110472,0.100295,0.0,0.0323,0.0003
211,-0.110042,0.131917,0.0,0.0323,0.0002
212,-0.108202,0.135682,0.0,0.0323,0.0003
213,-0.105860,0.143611,0.0,0.0323,0.0003
214,-0.104473,0.153939,0.0,0.0323,0.0003
215,-0.103059,0.173870,0.0,0.0323,0.0003
216,-0.104268,0.135909,0.0,0.0323,0.0003
217,-0.104230,0.134304,0.0,0.0323,0.0003
218,-0.105343,0.141560,0.0,0.0323,0.0002
219,-0.108290,0.159643,0.0,0.0323,0.0003
220,-0.111905,0.174106,0.0,0.0323,0.0002
221,-0.114770,0.121582,0.0,0.0323,0.0003
222,-0.116810,0.142379,0.0,0.0323,0.0003
223,-0.116439,0.092736,0.0,0.0323,0.0003
224,-0.119333,0.153971,0.0,0.0323,0.0003
225,-0.119429,0.090475,0.0,0.0323,0.0003
226,-0.120183,0.139392,0.0,0.0323,0.0003
227,-0.119276,0.124775,0.0,0.0323,0.0003
228,-0.117056,0.163379,0.0,0.0323,0.0003
229,-0.116337,0.218593,0.0,0.0323,0.0003
230,-0.110553,0.142223,0.0,0.0323,0.0003
231,-0.110206,0.107626,0.0,0.0323,0.0003
232,-0.107112,0.155246,0.0,0.0323,0.0003
233,-0.104632,0.186568,0.0,0.0323,0.0003
234,-0.100685,0.141435,0.0,0.0323,0.0003
235,-0.099161,0.152976,0.0,0.0323,0.0002
236,-0.094156,0.095415,0.0,0.0323,0.0004
237,-0.091774,0.133526,0.0,0.0323,0.0004
238,-0.087457,0.118198,0.0,0.0323,0.0005
239,-0.086999,0.171523,0.0,0.0323,0.0004
240,-0.083601,0.135888,0.0,0.0323,0.0003
241,-0.082736,0.134088,0.0,0.0323,0.0003
242,-0.079591,0.103953,0.0,0.0323,0.0003
243,-0.076420,0.110029,0.0,0.0323,0.0005
244,-0.072666,0.122133,0.0,0.0323,0.0004
245,-0.071048,0.124889,0.0,0.0323,0.0004
246,-0.068378,0.156192,0.0,0.0323,0.0004
247,-0.064269,0.132675,0.0,0.0323,0.0005
248,-0.062625,0.143551,0.0,0.0323,0.0004
249,-0.060316,0.078988,0.0,0.0323,0.0004
250,-0.060448,0.186768,0.0,0.0323,0.0005
251,-0.059975,0.153469,0.0,0.0323,0.0004
252,-0.059562,0.129256,0.0,0.0323,0.0005
253,-0.058228,0.165256,0.0,0.0323,0.0004
