ticker,selected_days,first_selected,last_selected
ABB,176,2015-07-24T00:00:00.000000000,2021-06-25T00:00:00.000000000
CHOLAFIN,175,2015-07-07T00:00:00.000000000,2021-06-24T00:00:00.000000000
JSWENERGY,174,2015-07-06T00:00:00.000000000,2021-06-28T00:00:00.000000000
TORNTPHARM,173,2015-07-09T00:00:00.000000000,2021-06-23T00:00:00.000000000
TVSMOTOR,173,2015-07-10T00:00:00.000000000,2021-06-18T00:00:00.000000000
INDIGO,172,2016-06-03T00:00:00.000000000,2023-07-18T00:00:00.000000000
AXISBANK,171,2015-07-09T00:00:00.000000000,2021-06-21T00:00:00.000000000
JSWSTEEL,170,2015-07-14T00:00:00.000000000,2021-06-24T00:00:00.000000000
TATASTEEL,170,2015-07-30T00:00:00.000000000,2021-06-22T00:00:00.000000000
SHREECEM,169,2015-07-07T00:00:00.000000000,2021-06-17T00:00:00.000000000
VEDL,165,2015-07-09T00:00:00.000000000,2021-06-21T00:00:00.000000000
ADANIPORTS,162,2015-07-23T00:00:00.000000000,2021-06-25T00:00:00.000000000
KOTAKBANK,161,2015-07-07T00:00:00.000000000,2021-06-22T00:00:00.000000000
BAJFINANCE,160,2015-07-07T00:00:00.000000000,2021-06-14T00:00:00.000000000
MOTHERSON,158,2015-07-06T00:00:00.000000000,2021-06-21T00:00:00.000000000
HAVELLS,158,2015-07-14T00:00:00.000000000,2021-05-28T00:00:00.000000000
BANKBARODA,158,2015-07-14T00:00:00.000000000,2021-07-23T00:00:00.000000000
SHRIRAMFIN,158,2015-08-04T00:00:00.000000000,2021-06-07T00:00:00.000000000
NAUKRI,156,2015-07-13T00:00:00.000000000,2021-06-23T00:00:00.000000000
TECHM,155,2015-07-23T00:00:00.000000000,2021-06-16T00:00:00.000000000
BAJAJFINSV,150,2015-07-08T00:00:00.000000000,2021-06-14T00:00:00.000000000
TITAN,148,2015-07-13T00:00:00.000000000,2021-06-25T00:00:00.000000000
INFY,148,2015-08-11T00:00:00.000000000,2024-01-11T00:00:00.000000000
VBL,120,2017-05-16T00:00:00.000000000,2021-06-28T00:00:00.000000000
HAL,99,2018-10-16T00:00:00.000000000,2021-08-16T00:00:00.000000000
BAJAJHFL,92,2025-12-02T00:00:00.000000000,2026-04-29T00:00:00.000000000
HDFCLIFE,85,2018-06-04T00:00:00.000000000,2021-06-30T00:00:00.000000000
ADANIGREEN,67,2019-01-02T00:00:00.000000000,2021-06-18T00:00:00.000000000
IRFC,48,2021-08-05T00:00:00.000000000,2022-01-10T00:00:00.000000000
LICI,12,2026-02-20T00:00:00.000000000,2026-04-23T00:00:00.000000000
MAZDOCK,4,2021-04-22T00:00:00.000000000,2021-06-11T00:00:00.000000000
