date,step,nav,cash,cash_pct,daily_return,reward,vol_30d,mdd_30d
2016-02-25T00:00:00.000000000,112,907.0935,8163382.71,0.8999,-0.002307,-0.048272,0.008513,0.069252
2016-02-26T00:00:00.000000000,113,906.9805,8162979.96,0.9000,-0.000125,-0.044783,0.008520,0.064864
2016-02-29T00:00:00.000000000,114,906.8553,8164674.26,0.9003,-0.000138,-0.221343,0.008167,0.064864
2016-03-01T00:00:00.000000000,115,906.5054,4533204.14,0.5001,-0.000386,-0.206321,0.007860,0.055561
2016-03-02T00:00:00.000000000,116,906.1839,4532676.63,0.5002,-0.000355,-0.194429,0.007721,0.048431
2016-03-03T00:00:00.000000000,117,926.9970,4635875.30,0.5001,0.022968,-0.082283,0.008316,0.048431
2016-03-04T00:00:00.000000000,118,934.5141,4675418.54,0.5003,0.008109,-0.157448,0.008432,0.048431
2016-03-08T00:00:00.000000000,119,936.4110,4682212.75,0.5000,0.002030,-0.018242,0.008394,0.048431
2016-03-09T00:00:00.000000000,120,935.3553,8419757.86,0.9002,-0.001127,-0.030807,0.008330,0.048431
2016-03-10T00:00:00.000000000,121,934.1026,8408585.70,0.9002,-0.001339,-0.031546,0.008223,0.048431
2016-03-11T00:00:00.000000000,122,935.6394,8422321.71,0.9002,0.001645,-0.019614,0.008229,0.048431
2016-03-14T00:00:00.000000000,123,934.6812,8415437.03,0.9004,-0.001024,-0.286661,0.008112,0.048431
2016-03-15T00:00:00.000000000,124,934.6368,461736.01,0.0494,-0.000048,-0.249445,0.008101,0.048431
2016-03-16T00:00:00.000000000,125,930.0282,464015.73,0.0499,-0.004931,-0.430981,0.007676,0.048431
2016-03-17T00:00:00.000000000,126,926.9291,465769.69,0.0502,-0.003332,-0.364745,0.007688,0.045485
2016-03-18T00:00:00.000000000,127,935.1561,468298.21,0.0501,0.008875,0.097994,0.007809,0.045485
2016-03-21T00:00:00.000000000,128,935.8513,469917.33,0.0502,0.000744,-0.351865,0.007811,0.045485
2016-03-22T00:00:00.000000000,129,944.2988,472780.93,0.0501,0.009026,-0.275558,0.007978,0.045485
2016-03-23T00:00:00.000000000,130,963.1609,485608.56,0.0504,0.019975,-0.138866,0.008726,0.030276
2016-03-28T00:00:00.000000000,131,970.8602,488939.70,0.0504,0.007994,-0.192481,0.008251,0.029535
2016-03-29T00:00:00.000000000,132,968.2543,2423132.68,0.2503,-0.002684,-0.252981,0.008277,0.020701
2016-03-30T00:00:00.000000000,133,960.4144,2401002.94,0.2500,-0.008097,-0.273931,0.008239,0.012159
2016-03-31T00:00:00.000000000,134,967.9721,2421888.12,0.2502,0.007869,-0.103920,0.007188,0.012159
2016-04-01T00:00:00.000000000,135,978.1363,2447919.86,0.2503,0.010500,-0.085730,0.007326,0.012159
2016-04-04T00:00:00.000000000,136,980.2255,2452714.45,0.2502,0.002136,0.202914,0.007222,0.010759
2016-04-05T00:00:00.000000000,137,981.0664,490996.83,0.0500,0.000858,0.081492,0.006697,0.010759
2016-04-06T00:00:00.000000000,138,981.5062,493496.25,0.0503,0.000448,0.042589,0.006614,0.010759
2016-04-07T00:00:00.000000000,139,968.7998,487359.03,0.0503,-0.012946,-1.229845,0.007169,0.012946
2016-04-08T00:00:00.000000000,140,972.2635,490942.54,0.0505,0.003575,0.339639,0.007170,0.012946
2016-04-11T00:00:00.000000000,141,961.9984,484956.47,0.0504,-0.010558,-0.338056,0.007531,0.019875
2016-04-12T00:00:00.000000000,142,970.6203,489063.57,0.0504,0.008962,-0.153482,0.007592,0.019875
2016-04-13T00:00:00.000000000,143,981.4042,495077.03,0.0504,0.011110,-0.135179,0.007740,0.019875
2016-04-18T00:00:00.000000000,144,988.8930,497702.53,0.0503,0.007631,0.101985,0.007772,0.019875
2016-04-20T00:00:00.000000000,145,1002.8192,2506728.39,0.2500,0.014083,0.293849,0.007997,0.019875
2016-04-21T00:00:00.000000000,146,1009.8389,2527475.73,0.2503,0.007000,0.081417,0.007991,0.019875
2016-04-22T00:00:00.000000000,147,1005.7710,2516611.95,0.2502,-0.004028,-0.243876,0.007250,0.019875
2016-04-25T00:00:00.000000000,148,995.6548,2491042.45,0.2502,-0.010058,-0.284582,0.007531,0.019875
2016-04-26T00:00:00.000000000,149,994.1380,4970661.25,0.5000,-0.001523,-0.114032,0.007559,0.019875
2016-04-27T00:00:00.000000000,150,992.5699,4964487.02,0.5002,-0.001577,-0.115144,0.007566,0.019875
2016-04-28T00:00:00.000000000,151,1001.0291,5007174.32,0.5002,0.008523,0.086547,0.007627,0.019875
2016-04-29T00:00:00.000000000,152,1004.8087,5027413.63,0.5003,0.003776,-0.008404,0.007630,0.019875
2016-05-02T00:00:00.000000000,153,997.8268,4991535.66,0.5002,-0.006949,-0.307479,0.007792,0.019875
2016-05-03T00:00:00.000000000,154,998.3540,497176.01,0.0498,0.000528,-0.236379,0.007787,0.019875
2016-05-04T00:00:00.000000000,155,1003.2374,504177.11,0.0503,0.004891,-0.193473,0.007685,0.019875
2016-05-05T00:00:00.000000000,156,983.1096,493066.40,0.0502,-0.020063,-0.503507,0.008640,0.026469
2016-05-06T00:00:00.000000000,157,981.5393,492820.36,0.0502,-0.001597,-0.331467,0.008566,0.028024
2016-05-09T00:00:00.000000000,158,980.7090,492975.26,0.0503,-0.000846,-0.080358,0.008576,0.028846
2016-05-10T00:00:00.000000000,159,990.0506,498189.31,0.0503,0.009525,0.904900,0.008591,0.028846
2016-05-11T00:00:00.000000000,160,998.9670,502609.96,0.0503,0.009006,0.855572,0.008016,0.028846
2016-05-12T00:00:00.000000000,161,991.3242,498511.21,0.0503,-0.007651,-0.726818,0.008069,0.028846
2016-05-13T00:00:00.000000000,162,1002.1962,503419.34,0.0502,0.010967,1.041879,0.008247,0.028846
2016-05-16T00:00:00.000000000,163,1010.4566,506552.04,0.0501,0.008242,0.783022,0.008155,0.028846
2016-05-17T00:00:00.000000000,164,1004.4354,504960.24,0.0503,-0.005959,-0.566094,0.008186,0.028846
2016-05-18T00:00:00.000000000,165,1006.3163,502874.08,0.0500,0.001873,0.177899,0.008006,0.028846
2016-05-19T00:00:00.000000000,166,1002.1052,505952.05,0.0505,-0.004185,-0.397545,0.008056,0.028846
2016-05-20T00:00:00.000000000,167,1005.5580,505308.21,0.0503,0.003446,0.327325,0.008070,0.028846
2016-05-23T00:00:00.000000000,168,997.1500,502285.70,0.0504,-0.008361,-0.035827,0.008238,0.028846
2016-05-24T00:00:00.000000000,169,994.6846,8952888.85,0.9001,-0.002473,-0.035461,0.007872,0.028846
2016-05-25T00:00:00.000000000,170,993.7870,8948216.48,0.9004,-0.000902,-0.035451,0.007863,0.028846
2016-05-26T00:00:00.000000000,171,994.4172,8950812.38,0.9001,0.000634,-0.035166,0.007577,0.028846
2016-05-27T00:00:00.000000000,172,996.5163,8969010.37,0.9000,0.002111,-0.035028,0.007440,0.028846
2016-05-30T00:00:00.000000000,173,997.4699,8982147.25,0.9005,0.000957,-0.079325,0.007195,0.028846
2016-05-31T00:00:00.000000000,174,997.3563,495945.01,0.0497,-0.000114,-0.139222,0.007074,0.028846
2016-06-01T00:00:00.000000000,175,989.9235,497319.39,0.0502,-0.007453,-0.554197,0.006724,0.028846
2016-06-02T00:00:00.000000000,176,983.2221,494225.83,0.0503,-0.006770,-0.512983,0.006673,0.026953
2016-06-03T00:00:00.000000000,177,997.3963,1451152.06,0.1455,0.014416,0.689749,0.007183,0.026953
2016-06-06T00:00:00.000000000,178,1003.2708,503193.17,0.0502,0.005890,0.058898,0.007026,0.026953
2016-06-07T00:00:00.000000000,179,1000.0234,9002638.39,0.9002,-0.003237,-0.032369,0.007048,0.026953
2016-06-08T00:00:00.000000000,180,999.9498,9005531.76,0.9006,-0.000074,-0.000736,0.007040,0.026953
