date,step,phase,nav,cash,cash_pct,daily_return,reward,vol_30d,cvar_30d,mdd_30d,term_ret,term_vol,term_cvar,term_mdd,reward_raw,exposure
2015-11-02T00:00:00.000000000,81,train,883.7198,1304344.83,0.1476,-0.005449,-0.517620,0.017703,0.035478,0.167369,-0.544863,0.000000,0.000000,0.000000,-0.544863,0.950000
2015-11-03T00:00:00.000000000,82,train,878.7615,451960.92,0.0514,-0.005611,-0.533011,0.017709,0.035478,0.167369,-0.561064,0.000000,0.000000,0.000000,-0.561064,0.950000
2015-11-04T00:00:00.000000000,83,train,889.2330,469225.40,0.0528,0.011916,1.132029,0.017477,0.035478,0.167369,1.191610,0.000000,0.000000,0.000000,1.191610,0.950000
2015-11-05T00:00:00.000000000,84,train,890.0046,460785.83,0.0518,0.000868,0.082433,0.017465,0.035478,0.167369,0.086771,0.000000,0.000000,0.000000,0.086771,0.950000
2015-11-06T00:00:00.000000000,85,train,884.3323,2124006.98,0.2402,-0.006373,-0.605466,0.017459,0.035478,0.167369,-0.637332,0.000000,0.000000,0.000000,-0.637332,0.950000
2015-11-09T00:00:00.000000000,86,train,876.5039,455973.91,0.0520,-0.008852,-0.840967,0.017475,0.035478,0.165260,-0.885228,0.000000,0.000000,0.000000,-0.885228,0.950000
2015-11-10T00:00:00.000000000,87,train,865.4061,446696.35,0.0516,-0.012661,-1.202835,0.017529,0.035478,0.141579,-1.266142,0.000000,0.000000,0.000000,-1.266142,0.950000
2015-11-13T00:00:00.000000000,88,train,877.6704,460100.55,0.0524,0.014172,1.346314,0.017333,0.034718,0.140881,1.417173,0.000000,0.000000,0.000000,1.417173,0.950000
2015-11-16T00:00:00.000000000,89,train,858.0907,438814.14,0.0511,-0.022309,-2.119329,0.017430,0.034718,0.140881,-2.230873,0.000000,0.000000,0.000000,-2.230873,0.950000
2015-11-17T00:00:00.000000000,90,train,843.4786,435484.40,0.0516,-0.017029,-1.617714,0.016671,0.031142,0.140881,-1.702857,0.000000,0.000000,0.000000,-1.702857,0.950000
2015-11-18T00:00:00.000000000,91,train,850.3050,439933.45,0.0517,0.008093,0.768848,0.016130,0.031142,0.140881,0.809314,0.000000,0.000000,0.000000,0.809314,0.950000
2015-11-19T00:00:00.000000000,92,train,857.2047,444664.24,0.0519,0.008114,0.770860,0.015683,0.031142,0.133844,0.811431,0.000000,0.000000,0.000000,0.811431,0.950000
2015-11-20T00:00:00.000000000,93,train,863.9613,1261492.45,0.1460,0.007882,0.748806,0.015711,0.031142,0.131030,0.788217,0.000000,0.000000,0.000000,0.788217,0.950000
2015-11-23T00:00:00.000000000,94,train,867.4985,448023.31,0.0516,0.004094,0.388948,0.015726,0.031142,0.101836,0.409419,0.000000,0.000000,0.000000,0.409419,0.950000
2015-11-24T00:00:00.000000000,95,train,867.1520,440035.40,0.0507,-0.000400,-0.037954,0.015199,0.028790,0.079323,-0.039952,0.000000,0.000000,0.000000,-0.039952,0.950000
2015-11-26T00:00:00.000000000,96,train,864.3477,449574.14,0.0520,-0.003234,-0.307218,0.014892,0.027702,0.071273,-0.323388,0.000000,0.000000,0.000000,-0.323388,0.950000
2015-11-27T00:00:00.000000000,97,train,866.9141,2090226.90,0.2411,0.002969,0.282074,0.013166,0.021533,0.071273,0.296920,0.000000,0.000000,0.000000,0.296920,0.950000
2015-11-30T00:00:00.000000000,98,train,870.5880,438655.23,0.0504,0.004238,0.402595,0.013156,0.021533,0.071273,0.423785,0.000000,0.000000,0.000000,0.423785,0.950000
2015-12-01T00:00:00.000000000,99,train,858.3168,439873.06,0.0512,-0.014095,-1.339052,0.012891,0.021533,0.071273,-1.409528,0.000000,0.000000,0.000000,-1.409528,0.950000
2015-12-02T00:00:00.000000000,100,train,857.2163,436504.13,0.0509,-0.001282,-0.121802,0.012371,0.021533,0.063288,-0.128213,0.000000,0.000000,0.000000,-0.128213,0.950000
2015-12-03T00:00:00.000000000,101,train,866.6951,2079716.87,0.2400,0.011058,1.050475,0.012417,0.021533,0.059123,1.105763,0.000000,0.000000,0.000000,1.105763,0.950000
2015-12-04T00:00:00.000000000,102,train,864.5698,433928.34,0.0502,-0.002452,-0.232955,0.012394,0.021533,0.059123,-0.245216,0.000000,0.000000,0.000000,-0.245216,0.950000
2015-12-07T00:00:00.000000000,103,train,855.9077,431276.74,0.0504,-0.010019,-0.951799,0.012246,0.021383,0.059123,-1.001893,0.000000,0.000000,0.000000,-1.001893,0.950000
2015-12-08T00:00:00.000000000,104,train,857.9913,430523.98,0.0502,0.002434,0.231262,0.012193,0.021383,0.059123,0.243434,0.000000,0.000000,0.000000,0.243434,0.950000
2015-12-09T00:00:00.000000000,105,train,853.9288,425778.21,0.0499,-0.004735,-0.449813,0.012134,0.021383,0.059123,-0.473488,0.000000,0.000000,0.000000,-0.473488,0.950000
2015-12-10T00:00:00.000000000,106,train,846.1996,426089.52,0.0504,-0.009051,-0.859883,0.011823,0.019894,0.059123,-0.905140,0.000000,0.000000,0.000000,-0.905140,0.950000
2015-12-11T00:00:00.000000000,107,train,838.3698,422871.25,0.0504,-0.009253,-0.879020,0.011642,0.019082,0.064822,-0.925284,0.000000,0.000000,0.000000,-0.925284,0.950000
2015-12-14T00:00:00.000000000,108,train,842.6266,423854.35,0.0503,0.005078,0.482366,0.010595,0.019082,0.064822,0.507753,0.000000,0.000000,0.000000,0.507753,0.950000
2015-12-15T00:00:00.000000000,109,train,838.1242,1214697.71,0.1449,-0.005343,-0.507620,0.010517,0.019082,0.065096,-0.534337,0.000000,0.000000,0.000000,-0.534337,0.950000
2015-12-16T00:00:00.000000000,110,train,845.4561,422974.50,0.0500,0.008748,0.831057,0.010033,0.019082,0.065096,0.874797,0.000000,0.000000,0.000000,0.874797,0.950000
2015-12-17T00:00:00.000000000,111,train,859.1077,433276.71,0.0504,0.016147,1.533973,0.010245,0.019082,0.065096,1.614709,0.000000,0.000000,0.000000,1.614709,0.950000
2015-12-18T00:00:00.000000000,112,train,862.6723,434370.57,0.0504,0.004149,0.394166,0.010258,0.019082,0.065096,0.414911,0.000000,0.000000,0.000000,0.414911,0.950000
2015-12-21T00:00:00.000000000,113,train,866.8138,1256918.58,0.1450,0.004801,0.456081,0.010277,0.019082,0.065096,0.480085,0.000000,0.000000,0.000000,0.480085,0.950000
2015-12-22T00:00:00.000000000,114,train,863.0787,432683.14,0.0501,-0.004309,-0.409359,0.010292,0.019082,0.065096,-0.430905,0.000000,0.000000,0.000000,-0.430905,0.950000
2015-12-23T00:00:00.000000000,115,train,866.4883,435097.99,0.0502,0.003951,0.375298,0.010155,0.018939,0.065096,0.395051,0.000000,0.000000,0.000000,0.395051,0.950000
2015-12-24T00:00:00.000000000,116,train,866.4262,434402.31,0.0501,-0.000072,-0.006810,0.010094,0.018939,0.065096,-0.007168,0.000000,0.000000,0.000000,-0.007168,0.950000
2015-12-28T00:00:00.000000000,117,train,871.1533,437233.68,0.0502,0.005456,0.518306,0.009303,0.015852,0.065096,0.545585,0.000000,0.000000,0.000000,0.545585,0.950000
2015-12-29T00:00:00.000000000,118,train,867.9265,440109.10,0.0507,-0.003704,-0.351884,0.009208,0.015852,0.065096,-0.370404,0.000000,0.000000,0.000000,-0.370404,0.950000
2015-12-30T00:00:00.000000000,119,train,875.2830,442273.00,0.0505,0.008476,0.805215,0.009256,0.015852,0.065096,0.847595,0.000000,0.000000,0.000000,0.847595,0.950000
2015-12-31T00:00:00.000000000,120,train,875.9513,443101.29,0.0506,0.000764,0.072535,0.008969,0.014672,0.065096,0.076352,0.000000,0.000000,0.000000,0.076352,0.950000
2016-01-01T00:00:00.000000000,121,train,870.6711,1262947.00,0.1451,-0.006028,-0.572654,0.008287,0.014672,0.065096,-0.602793,0.000000,0.000000,0.000000,-0.602793,0.950000
2016-01-04T00:00:00.000000000,122,train,877.2276,441919.90,0.0504,0.007530,0.715385,0.008299,0.014672,0.065096,0.753037,0.000000,0.000000,0.000000,0.753037,0.950000
2016-01-05T00:00:00.000000000,123,train,887.7303,446434.50,0.0503,0.011973,1.137395,0.008405,0.014672,0.065096,1.197258,0.000000,0.000000,0.000000,1.197258,0.950000
2016-01-06T00:00:00.000000000,124,train,882.3287,2113822.22,0.2396,-0.006085,-0.578045,0.008368,0.014672,0.065096,-0.608468,0.000000,0.000000,0.000000,-0.608468,0.950000
2016-01-07T00:00:00.000000000,125,train,876.0209,439600.74,0.0502,-0.007149,-0.679158,0.008372,0.014672,0.065096,-0.714903,0.000000,0.000000,0.000000,-0.714903,0.950000
2016-01-08T00:00:00.000000000,126,train,870.0675,437834.93,0.0503,-0.006796,-0.645620,0.008417,0.014672,0.065096,-0.679600,0.000000,0.000000,0.000000,-0.679600,0.950000
2016-01-11T00:00:00.000000000,127,train,854.9753,431238.85,0.0504,-0.017346,-1.647871,0.008709,0.015893,0.065096,-1.734601,0.000000,0.000000,0.000000,-1.734601,0.950000
2016-01-12T00:00:00.000000000,128,train,844.2066,1223501.89,0.1449,-0.012595,-1.196555,0.008768,0.016006,0.065096,-1.259532,0.000000,0.000000,0.000000,-1.259532,0.950000
2016-01-13T00:00:00.000000000,129,train,853.8009,428393.90,0.0502,0.011365,1.079661,0.008891,0.016006,0.065096,1.136485,0.000000,0.000000,0.000000,1.136485,0.950000
