date,nav,reward,selected
2015-11-19T00:00:00.000000000,1.0,0.0,"NSE_TITAN,NSE_SOLARINDS,NSE_ABB,NSE_CIPLA,NSE_BAJAJ_AUTO,NSE_PIDILITIND,NSE_GODREJCP,NSE_ADANIPOWER,NSE_ONGC"
2015-11-20T00:00:00.000000000,1.0,0.0,"NSE_TITAN,NSE_ABB,NSE_PIDILITIND,NSE_SOLARINDS,NSE_CIPLA,NSE_ADANIPOWER,NSE_BAJAJ_AUTO,NSE_GODREJCP,NSE_ONGC"
2015-11-23T00:00:00.000000000,1.0,0.0,"NSE_TITAN,NSE_GODREJCP,NSE_SOLARINDS,NSE_PIDILITIND,NSE_ABB,NSE_ADANIPOWER,NSE_BAJAJ_AUTO,NSE_CIPLA,NSE_ONGC"
2015-11-24T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_TITAN,NSE_SOLARINDS,NSE_PIDILITIND,NSE_ABB,NSE_ADANIPOWER,NSE_BAJAJ_AUTO,NSE_GODREJCP,NSE_ONGC"
2015-11-26T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_SOLARINDS,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_ONGC,NSE_GODREJCP,NSE_TITAN,NSE_ABB"
2015-11-27T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_SOLARINDS,NSE_PIDILITIND,NSE_ONGC,NSE_BAJAJ_AUTO,NSE_GODREJCP,NSE_INDHOTEL,NSE_ABB,NSE_ADANIPOWER"
2015-11-30T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_BAJAJ_AUTO,NSE_PIDILITIND,NSE_SOLARINDS,NSE_ABB,NSE_ONGC,NSE_INDHOTEL,NSE_GODREJCP"
2015-12-01T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_ABB,NSE_PIDILITIND,NSE_SOLARINDS,NSE_ONGC,NSE_BAJAJ_AUTO,NSE_GODREJCP,NSE_ADANIPORTS"
2015-12-02T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_PIDILITIND,NSE_SOLARINDS,NSE_CIPLA,NSE_ONGC,NSE_BAJAJ_AUTO,NSE_ADANIPORTS,NSE_GODREJCP"
2015-12-03T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_CIPLA,NSE_PIDILITIND,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_ONGC,NSE_BAJAJ_AUTO"
2015-12-04T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_CIPLA,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_SOLARINDS,NSE_ADANIPORTS,NSE_ONGC"
2015-12-07T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_CIPLA,NSE_SOLARINDS,NSE_PIDILITIND,NSE_ADANIPORTS,NSE_ADANIPOWER,NSE_ULTRACEMCO"
2015-12-08T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_CIPLA,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_ULTRACEMCO"
2015-12-09T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_ABB,NSE_CIPLA,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_ULTRACEMCO"
2015-12-10T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_ABB,NSE_CIPLA,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_DLF"
2015-12-11T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_CIPLA,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_PIDILITIND,NSE_ADANIPORTS"
2015-12-14T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_ABB,NSE_CIPLA,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_PIDILITIND,NSE_ADANIPORTS"
2015-12-15T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_CIPLA,NSE_ABB,NSE_BAJAJ_AUTO,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_ULTRACEMCO"
2015-12-16T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_CIPLA,NSE_ABB,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_BAJAJ_AUTO,NSE_ONGC,NSE_ADANIPORTS,NSE_ULTRACEMCO"
2015-12-17T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_PIDILITIND,NSE_ABB,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_BAJAJ_AUTO,NSE_ADANIPORTS,NSE_ONGC"
2015-12-18T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_ABB,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_ONGC,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_ADANIPORTS"
2015-12-21T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_CIPLA,NSE_SOLARINDS,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_ONGC,NSE_BAJAJ_AUTO,NSE_TITAN"
